航次ID,船舶ID,进泊时间,离泊时间,船长,船宽,载重吨,船舶类型代码A,船舶类型代码B,泊位位置,装载量
1574,477524100,1706088911,1706150120,368,51,145388,B,A,121.83278587017914 29.947227829201804,3096
1575,636020688,1693630115,1693725141,289,45,174124,E,D,121.88299170323923 29.936601974988143,74436
1576,352200000,1689430697,1689563662,291,45,175141,E,D,121.88299170323923 29.936601974988143,86298
1577,563178900,1682696064,1682753421,186,34,36946,B,A,121.92547188203457 29.936120717921202,1331
1578,477079400,1685844968,1685918255,288,45,180201,E,D,122.07685838333425 29.893054494052702,42978
1579,440140000,1703319838,1703460259,110,18,6833,C,B,121.89581318351006 29.93222177093501,6007
1580,477939800,1700449286,1700628719,333,60,299629,D,C,121.99610422984635 29.92340472293356,130486.56
1581,477764600,1698786190,1698892129,366,48,140665,B,A,122.00991809253446 29.771098138093954,27601
1582,441209000,1693438875,1693618253,134,21,14577,C,B,121.9561103968495 29.95190766488247,9342.84
1583,441388000,1698939817,1698986449,145,23,12559,B,A,121.92909140408368 29.938775522735195,819
1584,538005615,1692250055,1692493585,226,37,53781,A,C,121.9808752760512 29.936644381754785,46196.39
1585,538006405,1675752339,1675917274,180,32,45049,C,B,121.75439821138373 29.979150371202415,19000
1586,241720000,1687507797,1687659543,329,60,299998,D,C,121.9900784144446 29.92800063526856,132169.75
1587,440346000,1701472653,1701528842,141,25,12425,B,A,121.86256874954715 29.938672571655324,56
1588,416047000,1673976402,1674001926,191,28,21008,B,A,121.92547188203457 29.936120717921202,1700
1589,636019380,1688199696,1688337538,295,46,180389,E,D,122.07685838333425 29.893054494052702,91646
1590,441601000,1698047029,1698189260,128,20,13127,C,B,121.89581318351006 29.93222177093501,10429.25
1591,232012398,1705463380,1705556993,300,49,211153,E,D,122.07685838333425 29.893054494052702,82027
1592,538009159,1676594643,1676721688,292,45,180657,E,D,121.88299170323923 29.936601974988143,106151
1593,636017727,1703530525,1703570357,400,58,213114,B,A,122.0464197431265 29.8909733510863,4144
1594,441736000,1706231483,1706264461,295,32,63157,B,A,121.83825180579714 29.945235140108068,1859
1595,352001272,1699149215,1699257742,99,17,4974,A,B,121.89906923112821 29.93256276320894,2351.2
1596,219019365,1697945855,1698082631,399,60,213971,B,A,122.05636332082932 29.890401487700096,20873.1
1597,228342900,1673144947,1673248415,348,43,113964,B,A,122.00749578533595 29.76871274276176,3590.5
1598,412474590,1698536861,1698624278,110,18,4378,A,B,121.89581318351006 29.93222177093501,3950
1599,352453000,1684732006,1684832234,289,45,175569,E,D,121.88299170323923 29.936601974988143,91166
1600,229685000,1703107210,1703226817,366,51,155802,B,A,122.02459458045499 29.78192432924778,60007
1601,416068000,1690173695,1690347718,149,24,19999,C,B,121.89868694105951 29.931472410600644,3000
1602,636092750,1681444058,1681528705,260,43,121355,E,D,121.88299170323923 29.936601974988143,32600
1603,636092155,1701521421,1701603921,254,43,115156,E,D,121.88299170323923 29.936601974988143,33000
1604,538006405,1683083267,1683340969,180,32,45049,C,B,121.75109782011569 29.9804931127261,20570.73
1605,440824000,1673237030,1673309331,88,14,3414,C,B,121.89906923112821 29.93256276320894,3052
1606,636018565,1672891385,1673057497,228,36,54406,A,B,121.9808752760512 29.936644381754785,26627
1607,354331000,1677133362,1677301718,183,32,46661,C,C,121.80463577215305 29.962969225989433,41200
1608,412474590,1678423627,1678491394,110,18,4378,A,B,121.8960833011353 29.93290032975045,3950
1609,636020598,1684809427,1685046557,400,61,255288,B,A,122.0464197431265 29.8909733510863,34816.5
1610,538007485,1703984061,1704016941,295,32,63254,B,A,121.83557254458088 29.946175822681994,714
1611,613467106,1705127554,1705213360,223,36,49618,A,C,121.97377818306916 29.945100713933336,7000
1612,246249000,1673939033,1674094517,115,16,6750,A,B,121.9561103968495 29.95190766488247,3500.35
1613,563041500,1703845263,1703919411,172,28,22171,B,A,121.86982971079169 29.93642695035784,3944
1614,636092810,1679616508,1679702883,174,27,23467,B,A,122.00190326744374 29.764757824193353,1095
1615,636017448,1698310768,1698391287,292,45,181529,E,D,122.07685838333425 29.893054494052702,80600
1616,412474590,1703978906,1704072311,110,18,4378,A,B,121.8960833011353 29.93290032975045,3950
1617,353738000,1691739021,1691821561,245,43,119597,E,D,122.07685838333425 29.893054494052702,30550
1618,440225000,1685943076,1686100872,117,21,11420,C,B,121.9529721578593 29.94995541645756,9428.66
1619,416068000,1674353407,1674620746,149,24,19999,C,B,121.89868694105951 29.931472410600644,3750
1620,354475000,1676451035,1676529436,107,17,6486,C,B,121.89906923112821 29.93256276320894,5999.75
1621,563097700,1681516989,1681785446,230,36,55239,A,C,121.9808752760512 29.936644381754785,24150
1622,636016979,1675223288,1675260589,278,40,67515,B,A,121.86014084053872 29.939446239013918,2100
1623,538005016,1687330078,1687753299,134,23,14968,D,C,122.11536286626986 29.9081121196694,13789
1624,477779800,1682606036,1682740741,295,46,180335,E,D,121.88299170323923 29.936601974988143,75958
1625,414568000,1684824894,1685148694,185,32,49967,D,C,121.75439821138373 29.979150371202415,35452
1626,311000725,1691160611,1691250787,142,23,11817,B,A,122.03704830124349 29.893930377836373,808.5
1627,538009694,1683414314,1683443451,147,24,13071,B,A,121.92547188203457 29.936120717921202,10
1628,440061000,1685675397,1685732958,185,30,25000,B,A,121.84116957510483 29.944137794036124,1200
1629,413453290,1686608494,1686656855,136,22,10935,B,A,121.92337754450146 29.91836008290917,168
1630,447025000,1700879792,1701047012,333,60,319634,D,C,121.81345119675835 29.956549406214588,124937.52
1631,413375920,1675495845,1675588608,97,15,4078,C,B,121.9529721578593 29.94995541645756,3129.59
1632,477591600,1674024073,1674181494,133,21,13121,C,B,121.89906923112821 29.93256276320894,11454.43
1633,413378920,1686369294,1686517865,96,15,3800,C,B,121.97812002297549 29.939168019254215,256.96
1634,566510000,1678878790,1678912601,259,37,57830,B,A,122.00190326744374 29.764757824193353,706
1635,538006045,1676690571,1676939791,226,37,53558,A,C,121.97377818306916 29.945100713933336,45223.04
1636,413444420,1695279697,1695348984,115,17,6513,C,B,121.89906923112821 29.93256276320894,2988
1637,477694500,1673330462,1673577294,180,32,45634,D,C,121.80463577215305 29.962969225989433,40000
1638,219210000,1683381749,1683559761,367,49,148723,B,A,122.04040625503215 29.89264034445189,5602
1639,229778000,1694602733,1694716605,366,51,159614,B,A,122.01299469099648 29.772993330553064,4178
1640,477191900,1700382931,1700547103,333,60,307524,D,C,121.81345119675835 29.956549406214588,126938.39
1641,636020543,1700294571,1700437085,400,61,255288,B,A,122.04040625503215 29.89264034445189,38220
1642,370569000,1679616012,1679623063,148,23,13719,B,A,121.92547188203457 29.936120717921202,12.6
1643,319219200,1678615480,1678684801,304,40,80246,B,A,121.83825180579714 29.945235140108068,20000
1644,538008563,1681861930,1681892360,261,32,51314,B,A,121.84116957510483 29.944137794036124,1301
1645,477454100,1699918220,1699953478,368,51,150775,B,A,121.92547188203457 29.936120717921202,3189.6
1646,477219800,1690365142,1690677967,333,60,322829,D,C,121.81345119675835 29.956549406214588,58080.11
1647,636017970,1703740046,1703991092,336,60,315299,D,C,121.81345119675835 29.956549406214588,127804.36
1648,538002666,1701742824,1701807159,170,25,20307,B,A,122.02459458045499 29.78192432924778,3302.5
1649,477439900,1695395872,1696728180,148,23,13273,B,A,122.03102823282664 29.89508922632821,200
1650,477439900,1684239964,1684306471,148,23,13273,B,A,122.03102823282664 29.89508922632821,112
1651,416065000,1688027042,1688113053,149,24,19999,C,B,121.89581318351006 29.93222177093501,7498.68
1652,538003455,1687998389,1688265727,330,60,297974,D,C,121.9900784144446 29.92800063526856,267763.94
1653,374380000,1691381326,1691476468,99,17,4769,A,B,121.89868694105951 29.931472410600644,2353
1654,413297720,1701053933,1701071062,172,27,24031,B,A,121.86256874954715 29.938672571655324,7400
1655,636018305,1692593897,1692678240,300,50,207526,E,D,122.07685838333425 29.893054494052702,88449
1656,563173200,1705295491,1705386937,299,47,189688,E,D,122.07685838333425 29.893054494052702,85500
1657,220503000,1686404637,1686460554,399,56,174239,B,A,122.04040625503215 29.89264034445189,23073
1658,477859600,1691481158,1691535908,172,28,24494,B,A,121.93228463787132 29.940084640162464,1105
1659,477157300,1706154642,1706329342,290,47,88613,A,C,122.09094289999453 29.897187190163223,71175
1660,374728000,1693885363,1693969007,97,17,3994,A,B,121.89868694105951 29.931472410600644,3007.42
1661,255806362,1678018267,1678043487,325,43,125943,B,A,122.05636332082932 29.890401487700096,1581
1662,636021678,1688535693,1688886684,329,60,299847,D,C,121.8177632951752 29.95400256789684,263983.58
1663,355898000,1690322663,1690349793,145,22,12598,B,A,121.93228463787132 29.940084640162464,528
1664,441603000,1677213454,1677290472,105,16,5643,C,B,121.89581318351006 29.93222177093501,4760.3
1665,374161000,1675741660,1675834502,119,20,11508,C,B,121.77782813498385 29.974398546735802,10480.14
1666,477129800,1695107247,1695190429,226,37,54747,A,C,121.9808752760512 29.936644381754785,10700
1667,477237600,1686720383,1686786440,133,22,13703,C,B,121.75439821138373 29.979150371202415,1440.12
1668,441312000,1684114614,1684198921,91,14,3616,C,B,121.97812002297549 29.939168019254215,3007
1669,636019386,1677810419,1677976025,333,60,319911,D,C,121.8177632951752 29.95400256789684,135311.39
1670,636017577,1691385061,1691684824,398,59,222676,B,A,122.0464197431265 29.8909733510863,67255
1671,477692700,1676723733,1676782780,147,23,13266,B,A,122.03102823282664 29.89508922632821,905
1672,413453650,1692235515,1692304565,143,23,12598,B,A,121.92151130212007 29.93412576257949,2866
1673,477856700,1685609154,1685621131,172,28,24727,B,A,121.93228463787132 29.940084640162464,230
1674,412474590,1673408868,1673568476,110,18,4378,A,B,121.8960833011353 29.93290032975045,3950
1675,636015514,1697815574,1697935842,366,48,141550,B,A,121.83278587017914 29.947227829201804,1900
1676,636015876,1677997295,1678034453,254,38,63015,B,A,121.83825180579714 29.945235140108068,1008
1677,412380870,1691825564,1691912508,84,12,2277,C,B,121.97812002297549 29.939168019254215,240.75
1678,563025600,1689082716,1689169194,338,46,103284,B,A,121.83825180579714 29.945235140108068,2115
1679,352132000,1704520661,1704585339,95,16,3752,A,B,121.89906923112821 29.93256276320894,1506.53
1680,440824000,1692757789,1692845573,88,14,3414,C,B,121.97812002297549 29.939168019254215,3001
1681,357867000,1683523405,1683876230,330,60,302845,D,C,121.8177632951752 29.95400256789684,134693.97
1682,352001217,1683025633,1683106019,109,18,6831,C,B,121.89581318351006 29.93222177093501,5734.12
1683,636019894,1705486314,1705552196,210,33,37435,B,A,121.84116957510483 29.944137794036124,5259
1684,355798000,1674002518,1674175128,400,62,254042,B,A,122.04040625503215 29.89264034445189,34000
1685,416043000,1703383181,1703393434,300,50,208423,E,D,122.07685838333425 29.893054494052702,77828
1686,352132000,1703376728,1703461626,95,16,3752,A,B,121.89868694105951 29.931472410600644,1501.49
1687,636015927,1677893827,1677999703,120,20,9951,A,B,121.9561103968495 29.95190766488247,4005.7
1688,477842500,1676281279,1676370500,330,48,132069,B,A,122.0464197431265 29.8909733510863,11225
1689,414145000,1681393799,1681440949,254,43,115118,E,D,121.88299170323923 29.936601974988143,33960
1690,477846200,1680407221,1680480610,172,28,24506,B,A,121.92547188203457 29.936120717921202,2361
1691,525109011,1676597599,1676679554,100,17,3774,A,B,121.8960833011353 29.93290032975045,3010.19
1692,356292000,1694741336,1694832483,100,18,5163,A,B,121.89868694105951 29.931472410600644,2301.1
1693,413377680,1690061961,1690114724,196,32,40100,B,A,121.92547188203457 29.936120717921202,509
1694,440213000,1684918003,1684990776,92,14,3613,C,B,121.75102788409284 29.976417555460966,3169.83
1695,477224100,1688717329,1688779662,143,23,12560,B,A,122.03704830124349 29.893930377836373,200
1696,477006500,1691626049,1691695984,368,51,150753,B,A,121.92547188203457 29.936120717921202,6
1697,357867000,1678869954,1679375590,330,60,302845,D,C,121.81345119675835 29.956549406214588,133052.95
1698,477027700,1687908704,1688024463,226,37,54747,A,C,121.9808752760512 29.936644381754785,22133.4
1699,235082896,1694890260,1694996939,366,48,141448,B,A,122.02459458045499 29.78192432924778,3012.8
1700,477222600,1691794854,1691862184,335,43,101543,B,A,122.00749578533595 29.76871274276176,385.8
1701,311000725,1677459685,1677533331,142,23,11817,B,A,122.05279860785562 29.890331949101153,6631.1
1702,636021265,1697513859,1697672487,300,50,207721,E,D,122.07685838333425 29.893054494052702,97894
1703,636017686,1687793489,1687921810,400,59,221354,B,A,122.0464197431265 29.8909733510863,27693
1704,235479000,1678666205,1678709243,300,43,75898,B,A,121.86982971079169 29.93642695035784,36
1705,241431000,1681176416,1681388173,292,45,179445,E,D,121.88299170323923 29.936601974988143,160000
1706,477347900,1682836178,1682881199,172,28,21355,B,A,121.93228463787132 29.940084640162464,2970
1707,477444600,1688880306,1688923998,143,23,12698,B,A,121.92547188203457 29.936120717921202,782
1708,447275000,1677400399,1677561122,229,36,54503,A,C,121.9808752760512 29.936644381754785,23596
1709,566492000,1683206980,1683262807,249,37,61614,B,A,122.03102823282664 29.89508922632821,4839
1710,416068000,1705387295,1705545583,149,24,19999,C,B,121.89906923112821 29.93256276320894,17998.74
1711,257067210,1682223146,1682388943,183,32,40929,C,B,121.9529721578593 29.94995541645756,2352.67
1712,477348700,1698352740,1698437863,148,23,13295,B,A,122.03102823282664 29.89508922632821,2000
1713,248758000,1684137097,1684306277,400,59,198130,B,A,122.02107120092448 29.778912029292396,4
1714,413472910,1683968996,1684041352,119,19,5562,A,B,121.8960833011353 29.93290032975045,5005
1715,413468630,1704615173,1704669934,100,15,3252,A,B,121.89868694105951 29.931472410600644,1617.84
1716,311000725,1686469821,1686539078,142,23,11817,B,A,122.03102823282664 29.89508922632821,132
1717,566958000,1705766596,1705843872,328,45,115026,B,A,122.01299469099648 29.772993330553064,117.7
1718,477656800,1685064776,1685250792,185,32,45853,D,C,121.81345119675835 29.956549406214588,40000
1719,566493000,1673280147,1673327458,249,38,61614,B,A,122.04954154331483 29.890458695384908,20.6
1720,211895580,1702563333,1702777381,400,59,199744,B,A,121.92547188203457 29.936120717921202,750
1721,241638000,1688354285,1688530180,295,46,94945,A,C,122.09094289999453 29.897187190163223,71837
1722,440473000,1699403436,1699426337,143,21,10299,B,A,121.86982971079169 29.93642695035784,568.2
1723,355036000,1703669551,1703669844,290,45,174810,E,D,122.08000498486277 29.893743709306865,76606
1724,538004203,1677294715,1677340364,302,44,79283,B,A,121.83278587017914 29.947227829201804,457
1725,477614200,1703492891,1703616859,295,46,180361,E,D,121.88299170323923 29.936601974988143,92930
1726,212175000,1691513996,1691572441,334,43,101612,B,A,122.04954154331483 29.890458695384908,6829
1727,356077000,1703987371,1704068365,254,43,115339,E,D,122.07685838333425 29.893054494052702,34200
1728,414469000,1688715649,1688949774,333,60,320775,D,C,121.97053870035003 29.948500300623,302367.68
1729,371753000,1704565877,1704699077,366,52,190734,B,A,122.05279860785562 29.890331949101153,1607.3
1730,413275930,1691485905,1691650551,96,16,3338,A,B,121.74391419091693 29.98181953364116,1998.2
1731,413543000,1693742385,1693889755,292,45,177878,E,D,121.88299170323923 29.936601974988143,82672
1732,538005658,1686564830,1686699753,183,32,45479,C,B,121.8960833011353 29.93290032975045,2090.59
1733,241365000,1680400680,1680617111,290,46,92713,A,C,122.09094289999453 29.897187190163223,68243
1734,416020000,1701954069,1701997981,168,27,18618,B,A,122.02459458045499 29.78192432924778,4287.1
1735,440554000,1675485082,1675563209,68,12,1168,C,B,121.75102788409284 29.976417555460966,1000
1736,563132400,1693480312,1693550580,304,40,90443,B,A,122.00749578533595 29.76871274276176,6240
1737,538010305,1700792311,1700888538,225,36,58448,A,C,121.9808752760512 29.936644381754785,40348
1738,353066000,1684901583,1684945088,183,28,24261,B,A,122.00491060230848 29.76673611935694,35
1739,351674000,1685920188,1685966250,137,25,12484,B,A,121.92909140408368 29.938775522735195,1272
1740,636018385,1682859108,1682986900,366,48,141398,B,A,122.04954154331483 29.890458695384908,32241
1741,477462300,1688355815,1688528441,333,60,318506,D,C,121.8177632951752 29.95400256789684,197534.19
1742,441967000,1675146796,1675237581,92,15,3456,C,B,121.8960833011353 29.93290032975045,3000.58
1743,241316000,1699423798,1699574833,292,45,179033,E,D,121.88299170323923 29.936601974988143,92095
1744,563071400,1677304153,1677460274,180,28,37250,C,B,121.9529721578593 29.94995541645756,7000
1745,477632100,1681613139,1681783371,183,33,46286,C,B,121.75439821138373 29.979150371202415,20420.96
1746,636092850,1691728832,1691804796,255,43,114861,E,D,121.88299170323923 29.936601974988143,28680
1747,353467000,1703630785,1703688536,294,32,65890,B,A,122.03704830124349 29.893930377836373,3812
1748,477476300,1694487822,1694652417,333,60,309741,D,C,121.8177632951752 29.95400256789684,130895.19
1749,538009644,1692907957,1693016432,291,45,175153,E,D,121.88299170323923 29.936601974988143,71992
1750,477077100,1691301415,1691461681,295,46,180032,E,D,122.07685838333425 29.893054494052702,95161
1751,525009331,1687848302,1687933239,99,18,4285,A,B,121.89868694105951 29.931472410600644,3004.18
1752,352254000,1676426873,1676467570,172,33,28697,B,A,122.05279860785562 29.890331949101153,2477
1753,477809800,1703559719,1703634281,172,28,24672,B,A,122.03102823282664 29.89508922632821,1230
1754,636022207,1690606613,1690686245,292,45,179078,E,D,121.8854311014227 29.935859473467904,87637
1755,636022562,1702081296,1702100593,289,45,174110,E,D,122.07685838333425 29.893054494052702,71200
1756,636023002,1706240361,1706391848,399,61,225219,B,A,121.92547188203457 29.936120717921202,1488
1757,356292000,1678165765,1678245581,100,18,5163,A,B,121.89906923112821 29.93256276320894,2300.83
1758,441386000,1673315969,1673568965,129,20,13093,C,B,121.9561103968495 29.95190766488247,9256.73
1759,477967300,1683276794,1683324852,172,28,21196,B,A,121.92547188203457 29.936120717921202,1430
1760,357149000,1703560808,1703645380,99,17,4744,A,B,121.89906923112821 29.93256276320894,2348.74
1761,477915200,1693638723,1693715208,148,23,13281,B,A,122.03102823282664 29.89508922632821,1000
1762,477967300,1676098402,1676198388,172,28,21196,B,A,121.92547188203457 29.936120717921202,3439
1763,432786000,1693720002,1693883354,292,45,181529,E,D,121.8854311014227 29.935859473467904,88000
1764,636022102,1693003518,1693204392,400,62,272373,B,A,122.04040625503215 29.89264034445189,3009
1765,416068000,1679896433,1680344476,149,24,19999,C,B,121.89906923112821 29.93256276320894,4000
1766,563107100,1677887952,1677948708,186,36,37500,B,A,121.83557254458088 29.946175822681994,4140
1767,416481000,1682550330,1682613197,335,46,103668,B,A,122.02459458045499 29.78192432924778,26390
1768,440375000,1688376023,1688420634,148,23,12631,B,A,121.93228463787132 29.940084640162464,798
1769,636016038,1697702857,1697761015,255,38,63014,B,A,121.84116957510483 29.944137794036124,1783
1770,538009772,1706419813,1706859225,297,46,72462,A,C,122.09094289999453 29.897187190163223,62686.83
1771,441586000,1698106563,1698106953,105,16,5666,C,B,121.78323817164318 29.97243550629892,5000.58
1772,538010837,1701134966,1701178937,260,32,50689,B,A,121.86982971079169 29.93642695035784,1648
1773,636017768,1700751133,1700780865,172,27,21682,B,A,121.83557254458088 29.946175822681994,2789
1774,416065000,1706170598,1706310517,149,24,19999,C,B,121.8960833011353 29.93290032975045,10999.77
1775,357403000,1694727268,1695021693,292,45,179185,E,D,121.88299170323923 29.936601974988143,173280
1776,538007378,1676333568,1676440191,400,59,197059,B,A,121.92547188203457 29.936120717921202,5000
1777,477938700,1682674440,1682754479,146,22,12000,D,C,122.11536286626986 29.9081121196694,10085
1778,477312800,1672565905,1672654316,141,25,12331,B,A,121.92225542141885 29.921236299120544,1672
1779,403647000,1691727112,1691887167,183,35,55202,C,B,121.74391419091693 29.98181953364116,13964.11
1780,416067000,1703317257,1703463078,149,24,19999,C,B,121.8960833011353 29.93290032975045,7999.88
1781,477390300,1683858539,1683936585,336,48,115086,B,A,122.02459458045499 29.78192432924778,35
1782,636013892,1674152771,1674443830,288,45,169044,E,D,121.88299170323923 29.936601974988143,90191
1783,352001081,1686302194,1686470798,99,17,4740,A,B,121.74526834273715 29.975417393334514,2040.8
1784,525100545,1693620566,1693697710,97,16,3844,A,B,121.8960833011353 29.93290032975045,855
1785,305500000,1692705867,1692743660,172,29,24412,B,A,121.92547188203457 29.936120717921202,291
1786,440207000,1693724152,1693890535,100,14,2983,A,B,121.74526834273715 29.975417393334514,1902.93
1787,305060000,1697501273,1697555995,143,23,12774,B,A,122.06350371165705 29.891022988210633,1052
1788,538009208,1705297553,1705320736,146,23,13709,B,A,122.05279860785562 29.890331949101153,810
1789,636015979,1678873176,1678917250,185,25,22983,B,A,121.83278587017914 29.947227829201804,856
1790,477095600,1703653676,1703809702,333,60,317960,D,C,121.99610422984635 29.92340472293356,124413
1791,538002917,1687753279,1687926873,315,50,113355,A,C,122.09094289999453 29.897187190163223,94666.09
1792,441603000,1672649142,1672789110,105,16,5643,C,B,121.89581318351006 29.93222177093501,4760.34
1793,538005519,1680314310,1680318776,145,22,12248,B,A,121.92547188203457 29.936120717921202,1811
1794,563123400,1692778969,1692923138,230,36,55182,A,C,121.97377818306916 29.945100713933336,21000
1795,211887090,1704654755,1704687750,368,51,149360,B,A,121.92547188203457 29.936120717921202,1224
1796,440375000,1687307543,1687352003,148,23,12631,B,A,121.93228463787132 29.940084640162464,36
1797,636023562,1703682566,1703921638,364,51,163449,B,A,122.04954154331483 29.890458695384908,46901.2
1798,440266000,1680323145,1680412601,336,60,299981,D,C,121.81345119675835 29.956549406214588,134010.99
1799,374653000,1687577935,1687660770,245,43,117549,E,D,122.07685838333425 29.893054494052702,30853
1800,354280000,1706687562,1706759707,105,16,4036,A,B,121.8960833011353 29.93290032975045,2300.62
1801,372072000,1696900932,1696982147,96,15,3200,A,B,121.89906923112821 29.93256276320894,1589.62
1802,355705000,1694928475,1695097207,330,60,299999,D,C,121.8177632951752 29.95400256789684,121101.61
1803,477859400,1673833541,1673863914,186,35,37572,B,A,121.84116957510483 29.944137794036124,2684
1804,440251000,1677045304,1677117000,172,27,22344,B,B,121.77782813498385 29.974398546735802,4997.49
1805,412474590,1695271618,1695357635,110,18,4378,A,B,121.89581318351006 29.93222177093501,3950
1806,403645000,1693635090,1693718149,183,35,55202,C,B,121.78323817164318 29.97243550629892,991.73
1807,311000388,1693878518, None,225,36,54336,A,C,121.97377818306916 29.945100713933336,26134.79
1808,477690800,1686984604,1687071092,231,32,42123,B,A,122.03102823282664 29.89508922632821,1615
1809,235093619,1688869479,1688977303,335,46,103668,B,A,121.86014084053872 29.939446239013918,467
1810,538004651,1673660622,1673854674,333,60,319439,D,C,121.9900784144446 29.92800063526856,255632.42
1811,353800000,1684239208,1684292993,211,33,36972,B,A,122.00190326744374 29.764757824193353,816
1812,356582000,1698516411,1698635676,400,59,198937,B,A,122.01772291936598 29.776682898612826,26541.6
1813,353903000,1686811260,1686865294,293,40,72890,B,A,122.00991809253446 29.771098138093954,9548
1814,255806031,1703690983,1703737726,330,48,141838,B,A,122.03704830124349 29.893930377836373,1357.7
1815,636015350,1700557797,1700811163,292,45,179700,E,D,122.07685838333425 29.893054494052702,170713
1816,538009558,1673311520,1673393569,26,6,76606,E,D,122.07685838333425 29.893054494052702,23000
1817,353241000,1674259325,1674282290,183,28,24244,B,A,122.03102823282664 29.89508922632821,735
1818,412474590,1691478421,1691556944,110,18,4378,A,B,121.89868694105951 29.931472410600644,3950
1819,209695000,1683853520,1683897438,172,28,23417,B,A,121.86014084053872 29.939446239013918,2258.1
1820,371002000,1692321225,1692374717,193,28,24542,B,A,121.86442501839048 29.938071272210003,792
1821,538008499,1684911348,1684995737,183,32,49298,C,B,121.75109782011569 29.9804931127261,8840.63
1822,477185400,1676101415,1676243982,128,20,13029,C,B,121.9529721578593 29.94995541645756,5734.67
1823,440149000,1706411071,1706495178,110,18,6473,C,B,121.89581318351006 29.93222177093501,4750.01
1824,636018812,1675573511,1675725924,333,60,320785,D,C,121.9900784144446 29.92800063526856,132119.7
1825,353467000,1703630785,1703688536,294,32,65890,B,A,122.03704830124349 29.893930377836373,84
1826,538005797,1692159310,1692331493,339,60,319616,D,C,121.8177632951752 29.95400256789684,134798.36
1827,636022941,1684906346,1685020611,332,44,108350,B,A,122.03704830124349 29.893930377836373,7159
1828,563161900,1686636030,1686664908,175,27,23550,B,A,122.03102823282664 29.89508922632821,3557
1829,538007495,1677812301,1677983705,330,60,303120,D,C,121.9900784144446 29.92800063526856,133531.35
1830,477276600,1697862749,1697937780,335,43,101411,B,A,122.00749578533595 29.76871274276176,5991.6
1831,353289000,1700766816,1700842022,277,40,72900,B,A,122.04954154331483 29.890458695384908,19365
1832,241440000,1685922727,1686099903,336,60,319398,D,C,121.99610422984635 29.92340472293356,111032
1833,416067000,1683341483,1683514982,149,24,19999,C,B,121.89906923112821 29.93256276320894,18000
1834,538004558,1700379071,1700545537,140,21,14484,D,C,122.11536286626986 29.9081121196694,12435
1835,477528400,1702859448,1702929530,333,46,95238,B,A,121.86014084053872 29.939446239013918,29.1
1836,413381250,1705254653,1705307965,180,32,40496,B,A,121.86670274091357 29.937366869184032,6820
1837,636020456,1699385564,1699493903,333,48,130573,B,A,122.00991809253446 29.771098138093954,21908.8
1838,311000472,1698817348,1698993746,295,46,95253,A,C,122.09094289999453 29.897187190163223,73837
1839,636016352,1685175278,1685336904,300,50,208086,E,D,122.07685838333425 29.893054494052702,95036
1840,258767000,1703990509,1704159382,170,26,30087,C,B,121.9529721578593 29.94995541645756,4600
1841,218426000,1677794399,1677852815,366,48,142018,B,A,121.83278587017914 29.947227829201804,588
1842,416020000,1694863534,1694913674,168,27,18618,B,A,122.02459458045499 29.78192432924778,206
1843,416047000,1698144783,1698192993,191,28,21008,B,A,121.92547188203457 29.936120717921202,306
1844,352978162,1699351669,1699424900,96,15,3143,A,B,121.89906923112821 29.93256276320894,1590.18
1845,477439900,1675505292,1675556052,148,23,13273,B,A,122.03102823282664 29.89508922632821,1227
1846,247012900,1692682488,1692738845,285,40,63216,B,A,121.83557254458088 29.946175822681994,5473
1847,563090200,1700513918,1700605596,349,46,116440,B,A,122.0464197431265 29.8909733510863,15000
1848,563082600,1699684631,1699943049,179,27,34987,C,B,121.9529721578593 29.94995541645756,6700
1849,215857000,1692423774,1692536659,398,54,186528,B,A,122.02107120092448 29.778912029292396,19949.9
1850,354676000,1685609038,1685690979,292,45,180132,E,D,122.07685838333425 29.893054494052702,82830
1851,477103600,1686700047,1686788518,110,20,7995,D,C,122.11536286626986 29.9081121196694,6800
1852,441601000,1706317586,1706411769,128,20,13127,C,B,121.9529721578593 29.94995541645756,5703.41
1853,319445000,1678779660,1678860121,176,31,37155,C,B,121.77782813498385 29.974398546735802,1035.69
1854,538007680,1675373890,1675452040,260,32,50716,B,A,122.03102823282664 29.89508922632821,2030
1855,567593000,1705470845,1705549976,98,16,3848,A,B,121.89581318351006 29.93222177093501,3001.47
1856,356189000,1695289976,1695379899,293,40,72370,B,A,121.86014084053872 29.939446239013918,798
1857,636019381,1691211336,1691296995,292,45,175931,E,D,122.07685838333425 29.893054494052702,86428
1858,352132000,1684370950,1684453178,95,16,3752,A,B,121.89906923112821 29.93256276320894,1500.4
1859,636020266,1690173226,1690277389,274,40,68121,B,A,121.86670274091357 29.937366869184032,3700
1860,563122100,1681086404,1681093769,175,27,23482,B,A,121.86670274091357 29.937366869184032,2325
1861,525100545,1675568592,1675650404,97,16,3844,A,B,121.8960833011353 29.93290032975045,3004.57
1862,636014603,1695416421,1696728981,200,32,32906,B,A,121.83825180579714 29.945235140108068,3160
1863,241579000,1703226276,1703317614,295,46,94945,A,C,122.09094289999453 29.897187190163223,76372
1864,441403000,1698975027,1699023855,261,32,51314,B,A,121.86670274091357 29.937366869184032,1782
1865,477454100,1705200083,1705276355,368,51,150775,B,A,121.92547188203457 29.936120717921202,9087.5
1866,477439900,1675505292,1675556052,148,23,13273,B,A,122.03102823282664 29.89508922632821,2337
